,Tumor Sub-Compartment,Singlet Model,Triplet Model,Singlet Model DSC,Triplet Model DSC,Initial Model DSC,Percent Increase of singlet over initial model,Percent Increase of triplet over initial model,P value for significance of means over cases used to compute above,Differences In Percent Increase
0,Average,singlet_0,triplet_0,0.7439958373836555,0.7490137000608906,0.6267200744845778,18.712622696109847,19.51327722777807,5.903390142636793e-06,-0.8006545316682221
1,ET,singlet_0,triplet_0,0.6837139133517808,0.697808248168362,0.5955708476596493,14.799761613332452,17.166286917914796,3.161304647738987e-19,-2.3665253045823444
2,TC,singlet_0,triplet_0,0.7133484464194944,0.7143076996346159,0.5634957853181098,26.59339519581114,26.763627740599393,0.35044433892117854,-0.17023254478825223
3,WT,singlet_0,triplet_0,0.8349251523796946,0.8349251523796946,0.7210935904759767,15.785962239461938,15.785962239461938,NA,0.0
4,Average,singlet_0,triplet_1,0.7439958373836555,0.7503563899131085,0.6267200744845778,18.712622696109847,19.7275179880285,5.473527868896096e-11,-1.014895291918652
5,ET,singlet_0,triplet_1,0.6837139133517808,0.697808248168362,0.5955708476596493,14.799761613332452,17.166286917914796,3.161304647738987e-19,-2.3665253045823444
6,TC,singlet_0,triplet_1,0.7133484464194944,0.71833576919127,0.5634957853181098,26.59339519581114,27.47846353202952,0.011524713503470388,-0.885068336218378
7,WT,singlet_0,triplet_1,0.8349251523796946,0.8349251523796946,0.7210935904759767,15.785962239461938,15.785962239461938,NA,0.0
8,Average,singlet_0,triplet_2,0.7439958373836555,0.7486939489891832,0.6267200744845778,18.712622696109847,19.46225746876198,4.3306047447615654e-19,-0.7496347726521329
9,ET,singlet_0,triplet_2,0.6837139133517808,0.697808248168362,0.5955708476596493,14.799761613332452,17.166286917914796,3.161304647738987e-19,-2.3665253045823444
10,TC,singlet_0,triplet_2,0.7133484464194944,0.7133484464194944,0.5634957853181098,26.59339519581114,26.59339519581114,NA,0.0
11,WT,singlet_0,triplet_2,0.8349251523796946,0.8349251523796946,0.7210935904759767,15.785962239461938,15.785962239461938,NA,0.0
12,Average,singlet_0,triplet_3,0.7439958373836555,0.748995769970474,0.6267200744845778,18.712622696109847,19.510416286961487,0.0021332664425227983,-0.79779359085164
13,ET,singlet_0,triplet_3,0.6837139133517808,0.697808248168362,0.5955708476596493,14.799761613332452,17.166286917914796,3.161304647738987e-19,-2.3665253045823444
14,TC,singlet_0,triplet_3,0.7133484464194944,0.7143076996346159,0.5634957853181098,26.59339519581114,26.763627740599393,0.35044433892117854,-0.17023254478825223
15,WT,singlet_0,triplet_3,0.8349251523796946,0.8348713621084437,0.7210935904759767,15.785962239461938,15.778502698569973,0.025506154935437838,0.007459540891964878
16,Average,singlet_0,triplet_4,0.7439958373836555,0.7466833042615029,0.6267200744845778,18.712622696109847,19.14143724781503,0.5342350237394984,-0.4288145517051838
17,ET,singlet_0,triplet_4,0.6837139133517808,0.697808248168362,0.5955708476596493,14.799761613332452,17.166286917914796,3.161304647738987e-19,-2.3665253045823444
18,TC,singlet_0,triplet_4,0.7133484464194944,0.7143076996346159,0.5634957853181098,26.59339519581114,26.763627740599393,0.35044433892117854,-0.17023254478825223
19,WT,singlet_0,triplet_4,0.8349251523796946,0.8279339649815318,0.7210935904759767,15.785962239461938,14.816436578646108,3.9608856312784044e-26,0.9695256608158296
20,Average,singlet_1,triplet_0,0.7453618172682913,0.7490137000608906,0.6267200744845778,18.93057963418292,19.51327722777807,0.31264539520335644,-0.5826975935951495
21,ET,singlet_1,triplet_0,0.6907430077566664,0.697808248168362,0.5955708476596493,15.97998969744825,17.166286917914796,5.058595668099339e-06,-1.186297220466546
22,TC,singlet_1,triplet_0,0.7143076996346159,0.7143076996346159,0.5634957853181098,26.763627740599393,26.763627740599393,NA,0.0
23,WT,singlet_1,triplet_0,0.8310347444135929,0.8349251523796946,0.7210935904759767,15.246447255902895,15.785962239461938,0.33697868290616584,-0.5395149835590427
24,Average,singlet_1,triplet_1,0.7453618172682913,0.7503563899131085,0.6267200744845778,18.93057963418292,19.7275179880285,0.004712454553042224,-0.7969383538455794
25,ET,singlet_1,triplet_1,0.6907430077566664,0.697808248168362,0.5955708476596493,15.97998969744825,17.166286917914796,5.058595668099339e-06,-1.186297220466546
26,TC,singlet_1,triplet_1,0.7143076996346159,0.71833576919127,0.5634957853181098,26.763627740599393,27.47846353202952,0.012652888342430833,-0.7148357914301258
27,WT,singlet_1,triplet_1,0.8310347444135929,0.8349251523796946,0.7210935904759767,15.246447255902895,15.785962239461938,0.33697868290616584,-0.5395149835590427
28,Average,singlet_1,triplet_2,0.7453618172682913,0.7486939489891832,0.6267200744845778,18.93057963418292,19.46225746876198,0.9678811297658869,-0.5316778345790603
29,ET,singlet_1,triplet_2,0.6907430077566664,0.697808248168362,0.5955708476596493,15.97998969744825,17.166286917914796,5.058595668099339e-06,-1.186297220466546
30,TC,singlet_1,triplet_2,0.7143076996346159,0.7133484464194944,0.5634957853181098,26.763627740599393,26.59339519581114,0.35044433892117854,0.17023254478825223
31,WT,singlet_1,triplet_2,0.8310347444135929,0.8349251523796946,0.7210935904759767,15.246447255902895,15.785962239461938,0.33697868290616584,-0.5395149835590427
32,Average,singlet_1,triplet_3,0.7453618172682913,0.748995769970474,0.6267200744845778,18.93057963418292,19.510416286961487,0.565847860509376,-0.5798366527785674
33,ET,singlet_1,triplet_3,0.6907430077566664,0.697808248168362,0.5955708476596493,15.97998969744825,17.166286917914796,5.058595668099339e-06,-1.186297220466546
34,TC,singlet_1,triplet_3,0.7143076996346159,0.7143076996346159,0.5634957853181098,26.763627740599393,26.763627740599393,NA,0.0
35,WT,singlet_1,triplet_3,0.8310347444135929,0.8348713621084437,0.7210935904759767,15.246447255902895,15.778502698569973,0.0007147486927023889,-0.5320554426670778
36,Average,singlet_1,triplet_4,0.7453618172682913,0.7466833042615029,0.6267200744845778,18.93057963418292,19.14143724781503,6.530591590593153e-08,-0.2108576136321112
37,ET,singlet_1,triplet_4,0.6907430077566664,0.697808248168362,0.5955708476596493,15.97998969744825,17.166286917914796,5.058595668099339e-06,-1.186297220466546
38,TC,singlet_1,triplet_4,0.7143076996346159,0.7143076996346159,0.5634957853181098,26.763627740599393,26.763627740599393,NA,0.0
39,WT,singlet_1,triplet_4,0.8310347444135929,0.8279339649815318,0.7210935904759767,15.246447255902895,14.816436578646108,7.715081030961255e-21,0.4300106772567869
40,Average,singlet_2,triplet_0,0.7422459520057015,0.7490137000608906,0.6267200744845778,18.43340946372807,19.51327722777807,8.305218775556887e-12,-1.0798677640500003
41,ET,singlet_2,triplet_0,0.680600325904221,0.697808248168362,0.5955708476596493,14.27697117458031,17.166286917914796,3.722159198800115e-17,-2.8893157433344854
42,TC,singlet_2,triplet_0,0.7112661680044386,0.7143076996346159,0.5634957853181098,26.223866537512453,26.763627740599393,2.280046816495758e-06,-0.5397612030869396
43,WT,singlet_2,triplet_0,0.8348713621084437,0.8349251523796946,0.7210935904759767,15.778502698569973,15.785962239461938,0.025506154935437838,-0.007459540891964878
44,Average,singlet_2,triplet_1,0.7422459520057015,0.7503563899131085,0.6267200744845778,18.43340946372807,19.7275179880285,1.566881109877122e-16,-1.2941085243004302
45,ET,singlet_2,triplet_1,0.680600325904221,0.697808248168362,0.5955708476596493,14.27697117458031,17.166286917914796,3.722159198800115e-17,-2.8893157433344854
46,TC,singlet_2,triplet_1,0.7112661680044386,0.71833576919127,0.5634957853181098,26.223866537512453,27.47846353202952,2.4258567503604158e-09,-1.2545969945170654
47,WT,singlet_2,triplet_1,0.8348713621084437,0.8349251523796946,0.7210935904759767,15.778502698569973,15.785962239461938,0.025506154935437838,-0.007459540891964878
48,Average,singlet_2,triplet_2,0.7422459520057015,0.7486939489891832,0.6267200744845778,18.43340946372807,19.46225746876198,7.023651553664782e-13,-1.028848005033911
49,ET,singlet_2,triplet_2,0.680600325904221,0.697808248168362,0.5955708476596493,14.27697117458031,17.166286917914796,3.722159198800115e-17,-2.8893157433344854
50,TC,singlet_2,triplet_2,0.7112661680044386,0.7133484464194944,0.5634957853181098,26.223866537512453,26.59339519581114,2.6453511857957875e-08,-0.3695286582986874
51,WT,singlet_2,triplet_2,0.8348713621084437,0.8349251523796946,0.7210935904759767,15.778502698569973,15.785962239461938,0.025506154935437838,-0.007459540891964878
52,Average,singlet_2,triplet_3,0.7422459520057015,0.748995769970474,0.6267200744845778,18.43340946372807,19.510416286961487,1.9025733434016766e-11,-1.0770068232334182
53,ET,singlet_2,triplet_3,0.680600325904221,0.697808248168362,0.5955708476596493,14.27697117458031,17.166286917914796,3.722159198800115e-17,-2.8893157433344854
54,TC,singlet_2,triplet_3,0.7112661680044386,0.7143076996346159,0.5634957853181098,26.223866537512453,26.763627740599393,2.280046816495758e-06,-0.5397612030869396
55,WT,singlet_2,triplet_3,0.8348713621084437,0.8348713621084437,0.7210935904759767,15.778502698569973,15.778502698569973,NA,0.0
56,Average,singlet_2,triplet_4,0.7422459520057015,0.7466833042615029,0.6267200744845778,18.43340946372807,19.14143724781503,0.15672993225465032,-0.708027784086962
57,ET,singlet_2,triplet_4,0.680600325904221,0.697808248168362,0.5955708476596493,14.27697117458031,17.166286917914796,3.722159198800115e-17,-2.8893157433344854
58,TC,singlet_2,triplet_4,0.7112661680044386,0.7143076996346159,0.5634957853181098,26.223866537512453,26.763627740599393,2.280046816495758e-06,-0.5397612030869396
59,WT,singlet_2,triplet_4,0.8348713621084437,0.8279339649815318,0.7210935904759767,15.778502698569973,14.816436578646108,3.731710709480812e-24,0.9620661199238647
60,Average,singlet_3,triplet_0,0.7452552153260983,0.7490137000608906,0.6267200744845778,18.913570135599244,19.51327722777807,0.20545114871161707,-0.599707092178825
61,ET,singlet_3,triplet_0,0.697808248168362,0.697808248168362,0.5955708476596493,17.166286917914796,17.166286917914796,NA,0.0
62,TC,singlet_3,triplet_0,0.7107471295159464,0.7143076996346159,0.5634957853181098,26.131756090191317,26.763627740599393,0.36777874941673316,-0.6318716504080761
63,WT,singlet_3,triplet_0,0.8272102682939856,0.8349251523796946,0.7210935904759767,14.716075585689769,15.785962239461938,0.610630365947535,-1.0698866537721692
64,Average,singlet_3,triplet_1,0.7452552153260983,0.7503563899131085,0.6267200744845778,18.913570135599244,19.7275179880285,0.0017483431266111951,-0.8139478524292549
65,ET,singlet_3,triplet_1,0.697808248168362,0.697808248168362,0.5955708476596493,17.166286917914796,17.166286917914796,NA,0.0
66,TC,singlet_3,triplet_1,0.7107471295159464,0.71833576919127,0.5634957853181098,26.131756090191317,27.47846353202952,0.026661082895609155,-1.346707441838202
67,WT,singlet_3,triplet_1,0.8272102682939856,0.8349251523796946,0.7210935904759767,14.716075585689769,15.785962239461938,0.610630365947535,-1.0698866537721692
68,Average,singlet_3,triplet_2,0.7452552153260983,0.7486939489891832,0.6267200744845778,18.913570135599244,19.46225746876198,0.20961490590880294,-0.5486873331627358
69,ET,singlet_3,triplet_2,0.697808248168362,0.697808248168362,0.5955708476596493,17.166286917914796,17.166286917914796,NA,0.0
70,TC,singlet_3,triplet_2,0.7107471295159464,0.7133484464194944,0.5634957853181098,26.131756090191317,26.59339519581114,0.8297651551667092,-0.4616391056198239
71,WT,singlet_3,triplet_2,0.8272102682939856,0.8349251523796946,0.7210935904759767,14.716075585689769,15.785962239461938,0.610630365947535,-1.0698866537721692
72,Average,singlet_3,triplet_3,0.7452552153260983,0.748995769970474,0.6267200744845778,18.913570135599244,19.510416286961487,0.868334807008266,-0.596846151362243
73,ET,singlet_3,triplet_3,0.697808248168362,0.697808248168362,0.5955708476596493,17.166286917914796,17.166286917914796,NA,0.0
74,TC,singlet_3,triplet_3,0.7107471295159464,0.7143076996346159,0.5634957853181098,26.131756090191317,26.763627740599393,0.36777874941673316,-0.6318716504080761
75,WT,singlet_3,triplet_3,0.8272102682939856,0.8348713621084437,0.7210935904759767,14.716075585689769,15.778502698569973,0.23841588685118253,-1.0624271128802043
76,Average,singlet_3,triplet_4,0.7452552153260983,0.7466833042615029,0.6267200744845778,18.913570135599244,19.14143724781503,0.009414614272938913,-0.2278671122157867
77,ET,singlet_3,triplet_4,0.697808248168362,0.697808248168362,0.5955708476596493,17.166286917914796,17.166286917914796,NA,0.0
78,TC,singlet_3,triplet_4,0.7107471295159464,0.7143076996346159,0.5634957853181098,26.131756090191317,26.763627740599393,0.36777874941673316,-0.6318716504080761
79,WT,singlet_3,triplet_4,0.8272102682939856,0.8279339649815318,0.7210935904759767,14.716075585689769,14.816436578646108,4.915860444845552e-10,-0.1003609929563396
80,Average,singlet_4,triplet_0,0.7421300944003903,0.7490137000608906,0.6267200744845778,18.414923123489736,19.51327722777807,1.8305641003823764e-06,-1.0983541042883331
81,ET,singlet_4,triplet_0,0.6875882567917782,0.697808248168362,0.5955708476596493,15.450287651539663,17.166286917914796,2.319473961297985e-22,-1.7159992663751336
82,TC,singlet_4,triplet_0,0.7110130915233615,0.7143076996346159,0.5634957853181098,26.17895466990472,26.763627740599393,0.7621331305806749,-0.5846730706946737
83,WT,singlet_4,triplet_0,0.8277889348860319,0.8349251523796946,0.7210935904759767,14.796324058244403,15.785962239461938,0.0003696221920972253,-0.9896381812175346
84,Average,singlet_4,triplet_1,0.7421300944003903,0.7503563899131085,0.6267200744845778,18.414923123489736,19.7275179880285,1.0609174026129265e-13,-1.312594864538763
85,ET,singlet_4,triplet_1,0.6875882567917782,0.697808248168362,0.5955708476596493,15.450287651539663,17.166286917914796,2.319473961297985e-22,-1.7159992663751336
86,TC,singlet_4,triplet_1,0.7110130915233615,0.71833576919127,0.5634957853181098,26.17895466990472,27.47846353202952,0.016456691430693473,-1.2995088621247994
87,WT,singlet_4,triplet_1,0.8277889348860319,0.8349251523796946,0.7210935904759767,14.796324058244403,15.785962239461938,0.0003696221920972253,-0.9896381812175346
88,Average,singlet_4,triplet_2,0.7421300944003903,0.7486939489891832,0.6267200744845778,18.414923123489736,19.46225746876198,6.392514399592232e-06,-1.047334345272244
89,ET,singlet_4,triplet_2,0.6875882567917782,0.697808248168362,0.5955708476596493,15.450287651539663,17.166286917914796,2.319473961297985e-22,-1.7159992663751336
90,TC,singlet_4,triplet_2,0.7110130915233615,0.7133484464194944,0.5634957853181098,26.17895466990472,26.59339519581114,0.29048530114121096,-0.41444052590642144
91,WT,singlet_4,triplet_2,0.8277889348860319,0.8349251523796946,0.7210935904759767,14.796324058244403,15.785962239461938,0.0003696221920972253,-0.9896381812175346
92,Average,singlet_4,triplet_3,0.7421300944003903,0.748995769970474,0.6267200744845778,18.414923123489736,19.510416286961487,4.6122332176691125e-05,-1.095493163471751
93,ET,singlet_4,triplet_3,0.6875882567917782,0.697808248168362,0.5955708476596493,15.450287651539663,17.166286917914796,2.319473961297985e-22,-1.7159992663751336
94,TC,singlet_4,triplet_3,0.7110130915233615,0.7143076996346159,0.5634957853181098,26.17895466990472,26.763627740599393,0.7621331305806749,-0.5846730706946737
95,WT,singlet_4,triplet_3,0.8277889348860319,0.8348713621084437,0.7210935904759767,14.796324058244403,15.778502698569973,0.8798281223247651,-0.9821786403255697
96,Average,singlet_4,triplet_4,0.7421300944003903,0.7466833042615029,0.6267200744845778,18.414923123489736,19.14143724781503,0.7717653518352948,-0.7265141243252948
97,ET,singlet_4,triplet_4,0.6875882567917782,0.697808248168362,0.5955708476596493,15.450287651539663,17.166286917914796,2.319473961297985e-22,-1.7159992663751336
98,TC,singlet_4,triplet_4,0.7110130915233615,0.7143076996346159,0.5634957853181098,26.17895466990472,26.763627740599393,0.7621331305806749,-0.5846730706946737
99,WT,singlet_4,triplet_4,0.8277889348860319,0.8279339649815318,0.7210935904759767,14.796324058244403,14.816436578646108,1.2556442434045686e-12,-0.02011252040170497
